id,date,activity,appCat.builtin,appCat.office,call,circumplex.arousal,circumplex.valence,mood,screen
AS14.19,2014-03-29,0.1379542600292001,608.323,0.0,10.0,0.2,1.2,7.4,1752.946999788284
AS14.19,2014-03-30,0.0645236703682057,2877.918,0.0,5.0,-0.4,0.8,7.0,1024.7169997692104
AS14.19,2014-03-31,0.130120999549245,857.534,0.0,6.0,-0.4,1.0,7.2,6191.571999549862
AS14.19,2014-04-01,0.1334668292940002,591.501,0.0,1.0,-0.3555555555555556,0.2,6.4,3570.471000909805
AS14.19,2014-04-02,0.0771635548510741,585.067,0.0,3.0,-0.2,1.0,7.6,1855.2750003337856
AS14.19,2014-04-03,0.0730771475256769,654.474,0.0,2.0,-0.3555555555555556,0.6,6.6,3131.0230004787445
AS14.19,2014-04-04,0.1570211539710371,1470.515,0.0,11.0,-0.2,0.4,7.0,3949.334000825882
AS14.19,2014-04-05,0.135955766000049,643.2819999999999,0.0,11.0,-0.6,1.2,8.0,2214.1240007877354
AS14.19,2014-04-06,0.0942241064341778,764.085,0.0,8.0,-1.25,1.0,7.25,2472.241999864578
AS14.19,2014-04-07,0.1834349291307364,1506.19,0.0,11.0,-1.0,0.6,6.6,3835.042002439499
AS14.19,2014-04-08,0.0890627978565847,994.528,0.0,8.0,-0.4,1.0,6.8,2903.4530005455003
AS14.19,2014-04-09,0.1175651288958906,522.515,0.0,8.0,-0.4,0.8,7.2,3051.9820015430446
AS14.19,2014-04-10,0.072801211001642,3206.806,0.0,4.0,-0.5,0.75,6.75,1047.3950006961825
AS14.19,2014-04-11,0.1110938994618982,1001.966,0.0,6.0,-0.6,1.0,6.8,2774.8020012378697
AS14.19,2014-04-12,0.0660549734120505,728.336,0.0,6.0,0.2,0.8,7.2,1843.591999769212
AS14.19,2014-04-13,0.1136744943626744,336.936,0.0,6.0,-0.6,1.0,7.2,1506.4069986343386
AS14.19,2014-04-14,0.1459290211851194,2974.481,0.0,15.0,0.4,0.8,7.0,5001.964999198914
AS14.19,2014-04-15,0.130765639589169,735.272,0.0,4.0,-1.0,1.0,6.4,4282.645000696184
AS14.19,2014-04-16,0.0772135416666666,218.157,0.0,4.0,-0.6,1.0,6.8,1871.9100003242488
AS14.19,2014-04-17,0.1014676704014939,167.766,0.0,1.0,-0.8,1.0,6.8,4765.971998453143
AS14.19,2014-04-18,0.0649305555555555,148.654,0.0,3.0,-1.0,1.0,6.8,3308.5030000209813
AS14.19,2014-04-19,0.1103173591380418,285.445,0.0,6.0,-0.4,0.8,6.8,1113.872999668121
AS14.19,2014-04-20,0.1019570063115676,917.671,0.0,4.0,0.2,1.2,7.6,1732.9319996833808
AS14.19,2014-04-21,0.1334698428094272,471.078,0.0,6.0,-0.2,1.0,6.4,1736.3480000495902
AS14.19,2014-04-22,0.1370108395809217,619.441,0.0,7.0,0.6,1.2,6.8,4882.677999734879
AS14.19,2014-04-23,0.1106468267952027,357.817,0.0,4.0,-1.0,1.0,6.0,3101.1779999732976
AS14.19,2014-04-24,0.1056023849974434,382.323,0.0,5.0,-0.6,0.8,6.6,2965.602000713348
AS14.19,2014-04-25,0.0767751114951885,951.599,0.0,6.0,-0.75,0.75,7.25,2672.424998760224
AS14.19,2014-04-26,0.2491027157989632,2705.354,0.0,6.0,1.0,1.5,7.75,1374.8749997615814
AS14.19,2014-04-27,0.0448666423090975,593.827,0.0,4.0,-1.5,0.8333333333333334,6.333333333333333,3028.6259999275203
AS14.19,2014-04-28,0.1037799902569723,475.858,0.0,4.0,-0.3555555555555556,0.6,6.4,2972.204998731613
AS14.19,2014-04-29,0.0256824324903605,1142.153,0.0,6.0,0.4,0.6,7.2,2259.0499985218044
AS14.19,2014-04-30,0.0445467010730297,852.516,0.0,12.0,0.4,0.8,7.0,3133.3029992580414
AS14.19,2014-05-01,0.1262649186297347,545.44,0.0,2.0,-0.2,0.8,6.8,3142.984999418261
AS14.19,2014-05-02,0.1923052479362559,943.426,0.0,9.0,0.4,1.2,7.8,1432.8610005378728
AS14.19,2014-05-03,0.1901187625754255,758.219,0.0,13.0,0.4,1.0,7.4,3198.180001020433
AS14.19,2014-05-04,0.0694499949875841,3808.056,0.0,6.340909090909091,-0.4,0.8,6.6,2679.487000226974
AS14.19,2014-05-05,0.10982723567497522,1050.9538666666665,0.0,6.340909090909091,0.25,1.0,7.0,6.10800004005432
AS14.20,2014-03-20,0.055027669172403364,211.455,0.0,2.3,-1.0,1.0,7.0,369.4009997844696
AS14.20,2014-03-21,0.055027669172403364,30.088,0.0,2.3,0.25,0.25,7.0,30.0939998626709
AS14.20,2014-03-22,0.007716049382716,29.871,0.0,2.3,1.0,0.5,7.5,1565.3150002956393
AS14.20,2014-03-23,0.0432098765432098,46.412000000000006,0.0,2.3,0.8,0.8,7.6,691.3710000514973
AS14.20,2014-03-24,0.0333333333333333,115.908,0.0,2.3,-0.2,0.4,6.8,2392.9479994773897
AS14.20,2014-03-25,0.0789351851851852,872.518,0.0,2.3,-0.75,-0.5,6.0,2657.941000223161
AS14.20,2014-03-26,0.0257621567145376,256.87800000000004,0.0,2.3,0.4,0.4,6.8,748.3169999122623
AS14.20,2014-03-27,0.057,228.71,0.0,2.3,0.25,0.75,7.0,1263.7210004329686
AS14.20,2014-03-28,0.0238095238095238,408.747,0.0,2.3,0.5,0.5740079365079365,6.25,460.5519998073581
AS14.20,2014-03-29,0.1381391585760517,122.243,0.0,4.0,1.0,1.0,7.4,760.8439998626707
AS14.20,2014-03-30,0.3802083333333333,22.232,0.0,2.3,1.0,1.0,7.5,834.6750004291538
AS14.20,2014-03-31,0.0125,185.39056756756753,0.0,1.0,0.875,0.875,7.0,20.71399974822997
AS14.20,2014-04-01,0.055027669172403364,38.34,0.0,2.3,0.2931818181818181,0.5740079365079365,6.25,29.6319999694824
AS14.20,2014-04-02,0.0671296296296296,510.743,0.0,2.3,0.2931818181818181,0.25,6.5,2276.728000640871
AS14.20,2014-04-03,0.0550229741019215,43.258,0.0,1.0,0.3333333333333333,0.3333333333333333,6.666666666666667,54.6529998779297
AS14.20,2014-04-04,0.0157407407407407,275.829,0.0,2.3,0.75,0.5,7.0,2065.8469989299774
AS14.20,2014-04-05,0.0905602359962825,108.754,0.0,2.0,0.4,0.8,7.0,807.5760002136229
AS14.20,2014-04-06,0.0602271408224647,231.018,0.0,3.0,0.6,0.8,7.0,3924.269999504088
AS14.20,2014-04-07,0.0290117079889807,73.935,0.0,2.3,0.6,1.0,6.8,290.2020001411439
AS14.20,2014-04-08,0.0033670033670033,66.224,0.0,2.3,0.5,0.75,7.25,601.9649999141694
AS14.20,2014-04-09,0.069361289395536,241.883,0.0,2.3,0.25,1.0,7.75,1532.6959998607635
AS14.20,2014-04-10,0.0218364197530864,86.771,0.0,2.3,0.5,0.5,7.0,1213.406999826432
AS14.20,2014-04-11,0.0550925925925925,55.402,0.0,2.0,0.5,0.75,7.5,169.1849999427795
AS14.20,2014-04-12,0.0459805591031644,326.646,0.0,6.0,0.2931818181818181,0.6,6.8,3952.105000019076
AS14.20,2014-04-13,0.055027669172403364,12.451,0.0,2.3,0.2931818181818181,0.6,6.8,5.01699995994568
AS14.20,2014-04-14,0.005,185.39056756756753,0.0,2.3,0.2931818181818181,0.2,6.8,1134.4382307896249
AS14.20,2014-04-15,0.1069444444444444,104.234,0.0,2.3,0.2931818181818181,0.6,6.8,699.7319998741151
AS14.20,2014-04-16,0.0046296296296296,185.39056756756753,0.0,2.3,0.4,0.6,7.2,11.29800009727478
AS14.20,2014-04-17,0.0145800106326422,306.671,0.0,2.3,-0.4,0.4,6.4,1704.4969999790194
AS14.20,2014-04-18,0.0064300411522633,78.833,0.0,2.3,0.2931818181818181,0.5,6.75,93.54699969291684
AS14.20,2014-04-19,0.0362707535121329,73.705,0.0,2.3,0.2931818181818181,1.0,7.5,2848.953001022339
AS14.20,2014-04-20,0.17375,308.396,0.0,1.0,-0.4,0.6,7.6,758.62700009346
AS14.20,2014-04-21,0.060422502334267,168.567,0.0,2.3,0.2,0.8,7.4,719.6380009651183
AS14.20,2014-04-22,0.055027669172403364,185.39056756756753,0.0,2.3,0.2931818181818181,0.5740079365079365,6.4,1134.4382307896249
AS14.20,2014-04-23,0.0541666666666667,8.155999999999999,0.0,2.3,-0.3333333333333333,0.3333333333333333,7.0,317.956999540329
AS14.20,2014-04-24,0.0369019607843137,542.866,0.0,1.0,-0.2,0.4,7.0,1478.5470013618472
AS14.20,2014-04-25,0.0437933055348103,192.424,0.0,2.0,0.5,0.25,7.0,707.3170003890989
AS14.20,2014-04-26,0.046111111111111,113.58,0.0,2.3,0.5,0.75,7.0,1290.6129994392386
AS14.20,2014-04-27,0.0178928571428571,132.168,0.0,2.3,0.2931818181818181,0.5740079365079365,6.8,1501.0290005207064
AS14.20,2014-04-28,0.0566866746698679,249.593,0.0,2.3,0.2931818181818181,0.2,6.8,2972.6559991836543
AS14.20,2014-04-29,0.0034722222222222,163.942,0.0,2.3,0.25,0.75,7.25,419.503999948502
AS14.20,2014-04-30,0.055027669172403364,185.39056756756753,0.0,2.3,0.2,0.6,7.0,1134.4382307896249
AS14.20,2014-05-01,0.055027669172403364,185.39056756756753,0.0,2.3,0.2,0.4,7.0,1134.4382307896249
AS14.20,2014-05-02,0.055027669172403364,185.39056756756753,0.0,2.3,0.2,0.2,7.2,1134.4382307896249
AS14.20,2014-05-03,0.055027669172403364,185.39056756756753,0.0,2.3,0.2931818181818181,0.5,6.75,1134.4382307896249
AS14.20,2014-05-04,0.055027669172403364,185.39056756756753,0.0,2.3,0.2931818181818181,0.6666666666666666,7.333333333333333,1134.4382307896249
AS14.20,2014-05-05,0.055027669172403364,185.39056756756753,0.0,2.3,0.2931818181818181,0.5740079365079365,7.0,1134.4382307896249
AS14.23,2014-03-22,0.3713608957795003,403.867,1946.849,1.8,0.08793103448275862,1.0,7.0,6747.242002010347
AS14.23,2014-03-23,0.2179961524600134,1069.076,1946.849,1.0,-0.4,1.0,7.0,36204.10500144956
AS14.23,2014-03-24,0.3554132307808778,2697.491,1946.849,1.8,-0.2,-0.2,5.8,11243.027001142502
AS14.23,2014-03-25,0.2749540512858405,2184.615,1946.849,1.8,-0.4,0.6,6.2,21481.41899919509
AS14.23,2014-03-26,0.4050488549279553,700.687,1946.849,1.0,-0.25,1.25,7.0,11393.93699741364
AS14.23,2014-03-27,0.3562184343434343,1005.019,1946.849,1.8,0.75,1.25,7.0,9123.214999675754
AS14.23,2014-03-28,0.4054120879120879,237.626,1946.849,1.8,0.6,1.2,7.0,5532.18599820137
AS14.23,2014-03-29,0.3971758776890901,1619.4679999999998,1946.849,1.8,0.25,1.5,7.25,10590.769999980928
AS14.23,2014-03-30,0.4181943516042781,782.505,1946.849,1.0,0.08793103448275862,1.2,7.0,7674.735999107361
AS14.23,2014-03-31,0.383014657192235,2354.496,1946.849,1.0,-0.25,1.5,7.5,15913.595998764033
AS14.23,2014-04-01,0.5112974987974988,1097.685,141.805,1.8,0.08793103448275862,2.0,7.5,9203.440999031063
AS14.23,2014-04-02,0.4693480702055396,1484.921,1946.849,3.0,0.5,1.0,7.0,11304.200000286104
AS14.23,2014-04-03,0.3605606998977927,2095.516,1946.849,1.0,0.5,1.0,7.0,14539.905001163484
AS14.23,2014-04-04,0.5438427062553628,1311.793,1946.849,1.0,1.0,1.0,7.0,11953.04599952698
AS14.23,2014-04-05,0.3916318101453476,493.636,1946.849,1.0,0.75,1.0,6.5,6510.4589993953705
AS14.23,2014-04-06,0.3032808556039441,910.816,1946.849,5.0,0.08793103448275862,0.6,7.0,13406.313003063202
AS14.23,2014-04-07,0.3823082263477411,1382.885,1946.849,2.0,-0.25,0.25,5.75,10270.581999778746
AS14.23,2014-04-08,0.2301178804855275,1037.227,1946.849,1.8,0.2,0.6,6.6,14280.335999727246
AS14.23,2014-04-09,0.381734291349676,326.126,1946.849,1.8,-0.4,1.2,7.2,9193.630001068115
AS14.23,2014-04-10,0.2841262132998891,1651.368,1946.849,1.8,0.08793103448275862,0.8,7.0,22168.90200042724
AS14.23,2014-04-11,0.345387364023241,831.416,1946.849,4.0,0.4,1.0,7.0,11599.447999715809
AS14.23,2014-04-12,0.3283472785449071,210.005,1946.849,1.8,-0.25,1.0,7.75,6615.891999483104
AS14.23,2014-04-13,0.3625992063492063,514.242,1946.849,1.0,0.6,1.0,7.2,7623.857996940613
AS14.23,2014-04-15,0.3192870679730575,2947.03,1082.168,1.0,0.08793103448275862,1.0,7.25,9824.825997829435
AS14.23,2014-04-16,0.3784666077105748,935.236,4233.241,2.0,0.08793103448275862,1.0,7.4,10167.08800029755
AS14.23,2014-04-17,0.479780409353968,1454.283,2132.851,1.8,1.0,1.4,7.4,12462.838999986649
AS14.23,2014-04-18,0.3814604377104377,456.465,1189.424,2.0,0.4,1.0,7.6,7498.495001316071
AS14.23,2014-04-19,0.3441558441558441,173.949,1946.849,1.8,0.08793103448275862,1.0,7.75,2376.009999752044
AS14.23,2014-04-20,0.5494297847746124,1437.636,1946.849,1.0,0.5,1.0,7.75,6345.535001039504
AS14.23,2014-04-21,0.4115224636722278,104.449,1946.849,1.8,-0.4,1.0,7.2,7331.516999483108
AS14.23,2014-04-22,0.3946185566427017,3657.213,1835.055,3.0,0.2,0.4,6.2,20183.2620010376
AS14.23,2014-04-23,0.2371930137596862,2862.224,1719.609,2.0,0.08793103448275862,1.0,7.0,9881.775000333786
AS14.23,2014-04-24,0.4980656877942016,670.167,2236.982,1.0,0.08793103448275862,1.0,7.4,11942.834001302725
AS14.23,2014-04-25,0.382158008243327,2603.498,1611.675,1.0,-0.2,1.2,7.8,11193.504001379011
AS14.23,2014-04-26,0.4048643023643024,752.112,4.013,2.0,-0.5,1.0,7.5,6491.557001829147
AS14.23,2014-04-27,0.3673707506660292,1780.652,1946.849,2.0,-0.2,1.0,7.0,12532.979995727534
AS14.23,2014-04-28,0.3717606811825966,1176.819,5228.516,2.0,-0.2,1.0,7.6,18749.942999124527
AS14.23,2014-04-29,0.3735173556602128,800.724,1946.849,2.0,-0.2,1.2,7.4,7028.152000427247
AS14.23,2014-04-30,0.4425530783321394,423.603,1946.849,2.0,-1.0,1.0,9.0,10908.680999994276
AS14.24,2014-04-14,0.0349673202614378,625.107,103.16488888888891,6.0,1.0,1.0,8.0,1140.1959996223457
AS14.24,2014-04-15,0.0777365819209039,809.808,103.16488888888891,3.0,-0.6,0.75,7.6,2460.195999860764
AS14.24,2014-04-16,0.0988649887431324,849.887,103.16488888888891,5.0,-0.4,0.25,7.4,4514.380000114438
AS14.24,2014-04-17,0.0438009895515452,6154.633,103.16488888888891,5.0,-1.5,0.25,6.75,5463.269999265672
AS14.24,2014-04-18,0.1621578124560861,3984.248,103.16488888888891,16.0,0.4,0.8,7.0,7768.733000040055
AS14.24,2014-04-19,0.0309915620560588,567.912,103.16488888888891,1.0,-0.09236111111111116,1.0,7.25,4175.926999330521
AS14.24,2014-04-20,0.1090277777777777,1010.542,103.16488888888891,10.0,0.6,0.8,7.8,3862.732000112534
AS14.24,2014-04-21,0.0156728927203065,394.55,103.16488888888891,4.902439024390244,0.5,1.0,7.5,3926.053998947146
AS14.24,2014-04-22,0.0766593295230444,931.861,103.16488888888891,2.0,0.4,0.8,7.2,3076.0670008659367
AS14.24,2014-04-23,0.038353214849158,465.882,103.16488888888891,3.0,-0.25,1.0,7.5,1905.5060000419624
AS14.24,2014-04-24,0.0537885364995059,1321.83,103.16488888888891,11.0,-0.25,0.5,6.8,6371.679999589921
AS14.24,2014-04-25,0.0664568248362065,1075.17,36.117,9.0,0.2,0.25,6.2,2518.2940008640294
AS14.24,2014-04-26,0.3513368312028612,502.719,103.16488888888891,5.0,0.8,1.0,7.6,1157.1240012645724
AS14.24,2014-04-27,0.0659523518195497,397.266,103.16488888888891,4.902439024390244,-1.0,0.75,7.0,1103.4109995365138
AS14.24,2014-04-28,0.0640181452353608,1659.46,19.223,5.0,0.4,0.6,6.8,6149.630000352859
AS14.24,2014-04-29,0.0508062140207729,1107.387,103.16488888888891,6.0,1.25,0.7814102564102565,6.0,4964.636000633241
AS14.24,2014-04-30,0.1521727653179764,2864.059,36.37,5.0,-0.09236111111111116,0.6666666666666666,6.333333333333333,7848.391000509262
AS14.24,2014-05-01,0.1159070254008328,1766.575,103.16488888888891,4.902439024390244,-0.8,1.0,7.4,4160.105999946595
AS14.24,2014-05-02,0.0742442660108813,677.594,103.16488888888891,4.902439024390244,-1.0,1.0,7.0,2124.881000280379
AS14.24,2014-05-03,0.0388064971751412,1111.822,373.503,1.0,-1.0,1.0,6.833333333333333,3695.925000429153
AS14.24,2014-05-04,0.1164755439508112,3850.214,51.786,4.902439024390244,-0.5,1.0,7.5,4252.372000455855
AS14.24,2014-05-05,0.0904747879778751,470.455,103.16488888888891,4.902439024390244,-0.6666666666666666,0.3333333333333333,6.0,3596.7060000896445
AS14.24,2014-05-07,0.0135513811833725,1133.381,103.16488888888891,4.902439024390244,1.0,0.75,7.0,5929.435001611706
AS14.24,2014-05-08,0.0918472680249848,1460.574,103.16488888888891,2.0,0.3333333333333333,1.0,7.0,3935.669001340868
AS14.24,2014-05-09,0.0837731818788647,867.252,208.114,2.0,-1.0,1.0,7.4,3467.677999973296
